Name,Pronouns,Troupe,Height_cm,Element,Aspect,MBTI,MBTI_Family,IE,Role,Power,Control,Support,Speed,Drawback_Type,Cross_Troupe_Group,Positive_Traits,Negative_Traits,Signature_Ability,Drawback_Summary
Akari Fujisaki,she/her,5,163,Light,Soul,INFP,Diplomat,I,Support,40,60,90,38,Emotional,VELVET CHAINSAW,Empathetic / Protective / Idealistic,Anxious / Self-doubting / Pessimistic,Heartglow Ward,Shields draw from emotional energy — overuse causes panic crash and exhaustion
Ana Crosby,she/her,5,170,Fire,Decay,ENFJ,Diplomat,E,Attacker,68,72,25,55,Physical,RUST PARADE,Altruistic / Inspirational / Devoted,Martyr complex / Possessive / Manipulative,Ember Requiem,More fire consumes the more drained she feels — burns alongside it
Himiko Nakayama,they/them,5,169,Earth,Crest,ENFJ,Diplomat,E,Support,55,70,88,62,Emotional,GLITCH GARDEN,Invigorating / Constructive / Forthright,Autocratic / Prone-to-anger / Easily-led,Resolute Field,Field collapses if confidence wavers — hesitation kills the ability instantly
Lily Raven,she/her,5,167,Water,Bloom,ESFJ,Sentinel,E,Support,50,45,85,55,Emotional,RUST PARADE,Hospitable / Effervescent / Communal,Gossip-prone / Approval-seeking / Clinging,Rippleburst Aura,Power responds to whoever she focuses on — wrong target amplifies their emotions
Mitsuki Nakamura,she/her,5,169,Aether,Storm,ENFP,Diplomat,E,Attacker,75,40,30,88,Sensory,NEON GRAVEYARD,Playful / Inventive / Zestful,Manic / Hyperactive / Fear-of-missing-out,Astral Spin,Storm aether causes power-drunk state — jittery overload leads to burnout crash
Akina Masayuki,she/her,6,171,Water,Silent,ISFP,Explorer,I,Disruptor,45,80,38,70,Physical,GHOST FOUNTAIN,Grounded / Magnetic / Patient,Vain / Oblivious / Disorganized,Stillwater Shroud,Feeds on focus — distraction collapses the water or causes it to splash everywhere
Claudia Bailey,she/her,6,168,Nature,Calm,ISFJ,Sentinel,I,Support,35,75,88,42,Emotional,GHOST FOUNTAIN,Diplomatic / Amiable / Facilitative,Conflict-avoidant / Self-forgetting / Unassertive,Lavender Bind,Vines weaken in the presence of hostility — conflict literally makes her power wilt
Emily Caddel,she/her,6,167,Light,Storm,ENFP,Diplomat,E,Attacker,80,38,22,85,Sensory,ATOMIC LULLABY,Curious / Open-minded / Tolerant,Procrastinating / Scattered / Overpromising,Photon Surge,Mental scatter mirrors beam scatter — unfocused mind means uncontrolled shots
Eri Fujino,she/her,6,171,Shadow,Soul,ISFP,Explorer,I,Support,50,60,72,45,Physical,GHOST FOUNTAIN,Poetic / Genuine / Sensitive,Melancholic / Brooding / Volatile,Deepsea Shade,Amplifies her own emotional weight — more shadow summoned means heavier she feels
Fuyuko Kurihara,she/her,6,168,Ice,Echo,INFJ,Diplomat,I,Disruptor,45,82,48,50,Sensory,GHOST FOUNTAIN,Discerning / Humanitarian / Symbolic,Isolating / Esoteric / Solitary,Glacian Memory,Each shard erodes short-term memory — too many causes disorientation
Asuka Yoshida,she/her,7,175,Light,Forge,ISTJ,Sentinel,I,Attacker,82,90,20,60,Emotional,STATIC CROWN,Conscientious / Trustworthy / Meticulous,Perfectionistic / Rigid / Inflexible,Luminary Edge,Self-doubt fractures light constructs — one crack means misfires and shattering blades
Charlotte Ellis,she/her,7,168,Fire,Echo,INTP,Analyst,I,Attacker,78,65,18,68,Emotional,RUST PARADE,Ingenious / Analytical / Visionary,Argumentative / Arrogant / Contrary,Rebound Flame,Echo-fire stores emotional traces — flustered state causes flames to go wild
Gillian Wiley,she/they,7,172,Metal,Storm,ENTJ,Analyst,E,Tank,85,58,15,72,Physical,STATIC CROWN,Strategic / Commanding / Ambitious,Dominating / Intimidating / Demanding,Ionbreak Armor,Storm-metal overheats if pushed — fuses to skin causing intense pain and paralysis
Mayumi Sasaki,she/her,7,168,Ice,Silent,ISFJ,Sentinel,I,Disruptor,40,88,55,38,Physical,GHOST FOUNTAIN,Caring / Methodological / Prudent,Reclusive / Catastrophizing / Self-limiting,Snowglass Field,Body temp drops dangerously fast — long use causes shaking fatigue and brain fog
Sakae Izumi,they/them,7,174,Aether,Calm,ISTP,Explorer,I,Disruptor,60,95,28,58,Sensory,STATIC CROWN,Mechanical / Mastery-oriented / Vigilant,Suspicious / Secretive / Emotionally reserved,Analyzer Thread,Senses overload from reading too much at once — migraines nausea collapse
Addison Hart,she/her,8,170,Shadow,Calm,INFP,Diplomat,I,Support,38,78,65,45,Sensory,VELVET CHAINSAW,Observant / Adaptable / Loyal,Dissociative / Avoidant / Secretive,Quiet Eclipse,Reality feels distant the longer she uses it — slips into her own world
Cindy Bentley,she/her,8,166,Fire,Bloom,ESFJ,Sentinel,E,Attacker,72,42,35,65,Emotional,NEON GRAVEYARD,Expressive / Vivacious / Passionate,Moody / Histrionic / Envious,Petalflame Burst,Mood swings cause uncontrolled blooming or scattering of flames
Kirumi Suzuki,she/her,8,169,Water,Silent,ISFJ,Sentinel,I,Support,35,72,85,48,Physical,VELVET CHAINSAW,Sympathetic / Faithful / Stabilizing,Martyrish / Self-effacing / Risk-averse,Mistbind Embrace,Mist drains her warmth — overuse causes cold shaking and emotional numbness
Koharu Ishii,she/her,8,165,Earth,Forge,ESTJ,Sentinel,E,Tank,70,88,35,48,Emotional,STATIC CROWN,Productive / Efficient / Credible,Workaholic / Micromanaging / Punitive,Terra Mandate,Broken concentration or emotional spike instantly cracks all structures
Mieko Ozawa,she/her,8,170,Fire,Crest,ENTJ,Analyst,E,Support,78,65,80,60,Emotional,STATIC CROWN,Inspiring / Empowering / Magnanimous,Image-obsessed / Self-aggrandizing / Fame-driven,Sovereign Blaze,Flames weaken if she isn't the center of attention — doubt or being ignored sputters her power
